Rank,Username,Total Points
6,socpite,25500.0
7,Mila,25250.0
9,minhcool,23750.0
10,neko_nyaaaaaaaaaaaaaaaaaaaaaaa,23750.0
11,ngpin04,23750.0
12,flashhh,23750.0
13,buidangnguyen05,23750.0
14,Khuepr123,23500.0
15,dqhungdl,23000.0
16,LeKienThanh69,23000.0
17,Lam_lai_cuoc_doi,23000.0
18,magnified,22750.0
19,RyoPham,22750.0
20,nguyen31hoang08minh2003,22750.0
21,chemthan,22500.0
22,sundaythekingplays,22250.0
23,DeMen100ns,22000.0
24,LetterC67,21500.0
25,lnth,21000.0
26,adeline193,21000.0
27,Monarchuwu,21000.0
28,31tranhoangson,21000.0
29,lethienquan28052006,20750.0
30,ysl,20500.0
31,ntnguyen,20500.0
32,hoanganhduc,20500.0
33,nguyentunglam,20250.0
34,Mint_Chocolate,20250.0
35,huutuan,20000.0
36,nhphucqt,20000.0
37,_q,20000.0
38,nero,19750.0
39,letangphuquy,19750.0
40,duongnc000,19750.0
41,quanmcvn,19750.0
42,I_love_Hoang_Yen,19750.0
43,guitienlinhhoatgiotrangtay,19250.0
44,ShineNoLife,19250.0
45,yamete,19000.0
46,PhanTienDung,19000.0
47,daoquanglinh2007,18750.0
48,dinhmanhhung168,18500.0
49,vodacbaoandn,18500.0
50,huyhasun,18500.0
51,powder,18500.0
52,Vũ_CG_Coder,18500.0
53,Nhoksocqt1,18250.0
54,Francesco4203,18000.0
55,YJM,18000.0
56,tuoitrexinloianhchi,18000.0
57,khanhphucscratch,18000.0
58,ThMinh_,18000.0
59,ind1v,18000.0
60,karrigan,17750.0
61,OrzSeaPosjtive,17750.0
62,hoangxuanbach,17500.0
63,farmerboy,17500.0
64,phucsongdonggia,17500.0
66,Ire,17250.0
67,abcxyz,17250.0
68,cuom1999,17000.0
69,mewnian,17000.0
70,ti20_ntson,17000.0
71,LeVanThuc,16750.0
72,21tin_cqhung,16750.0
73,kitsune,16750.0
74,unknownnaciul,16750.0
75,ducanh2706,16750.0
76,AisukiUwU,16750.0
77,UltimateWiener,16500.0
78,bubu2006,16500.0
79,haminh0307,16500.0
80,anhkha2003,16500.0
81,tunangoo,16250.0
82,bvd,16250.0
83,nnhzzz,16250.0
84,kazamahoang,16000.0
85,Flower_On_Stone,16000.0
86,NekomataOkayu,16000.0
87,2120minhdt,16000.0
88,khai99,16000.0
89,VLTisME986,16000.0
90,ldn694,16000.0
91,huyhau6a2,16000.0
92,nathan4690,16000.0
93,MinhTuan11,15750.0
94,nguyenne_i2d,15750.0
96,hoanggia042006,15500.0
97,Pikachu123,15500.0
98,Unknown1508,15250.0
99,trnthienphc2003,15250.0
100,oliveRRR,15250.0
101,wii,15250.0
102,OKAZU,15250.0
103,ATOM,15250.0
104,Kingen,15250.0
105,PhanDinhKhoi,14750.0
106,hydra,14750.0
107,haiender288,14750.0
108,Rukashi,14750.0
109,hihihah,14750.0
110,hungby04,14500.0
111,Asamai,14500.0
112,ARSENAL1886,14250.0
113,atomic_lattice,14250.0
114,MoonPie04,14250.0
115,Artteiv,14000.0
116,pemguimn,14000.0
117,duongnamngohl,14000.0
118,quanglm1998,13750.0
119,bomaycanhet,13750.0
120,QioCass,13750.0
121,Pikachu,13500.0
122,NhatMinh0208,13500.0
123,Skyan,13500.0
124,congbuithanh,13500.0
125,billyisme,13500.0
126,K63_PhamVanSam,13500.0
127,Hau,13500.0
128,ntploc21,13500.0
129,hoangspm1610,13500.0
130,CBNK29_MinhĐức,13500.0
131,dohoc12,13500.0
132,HuuTung,13250.0
133,Hata_no_Kokoro,13250.0
134,VoThanhHai,13250.0
135,12356,13000.0
136,Justinianus2001,13000.0
137,Helu,13000.0
138,abysmal,13000.0
139,FoolestBoy,13000.0
140,ladpro98,12750.0
141,longvu,12750.0
142,User0069,12750.0
143,PhucCNH,12750.0
144,tien9d2,12750.0
145,k63_nguyencongvinh,12750.0
146,tkhoi123,12750.0
147,tientri2210,12500.0
148,Hai,12500.0
149,hoangnghiaviet,12250.0
150,hxano,12250.0
151,gultai4ukr,12250.0
152,hoaphat1,12000.0
153,AliVu,12000.0
154,clonemasteruwu,11750.0
155,xxxxx,11750.0
156,thang31032003,11750.0
157,TpG2005,11750.0
158,nger,11500.0
159,SovietFanBoi,11500.0
160,hphuonghehe,11250.0
161,qrrrq,11000.0
162,zipdang04,11000.0
163,VDH,11000.0
164,damwuan,11000.0
165,Kither,11000.0
166,DOANHONGBAO,11000.0
167,thanh913,10750.0
168,pdthieu,10750.0
169,nghia05123,10750.0
170,CLC__Haaland,10750.0
171,bibocat12,10750.0
172,JustAPlainHuman,10500.0
173,CBNK29Huy,10500.0
174,proudanh,10500.0
175,nghiass001,10250.0
176,Shyn_,10250.0
177,SmuggingSpon,10250.0
178,Zero_OP,10250.0
179,NguyenQuocPhu,10250.0
180,Dangphuclong,10250.0
181,LTTrungCHL,10250.0
183,anhtai28,10000.0
184,canhbuomdoigian,10000.0
185,Tomato,10000.0
186,antonn_114,10000.0
187,HieeuSPhamJ,10000.0
188,Nimitz,10000.0
189,nguyenkhang123,10000.0
190,yabteibaohgnob,9750.0
191,kilkuwu,9750.0
192,Hoanggk,9750.0
193,Nbk_Fucs,9750.0
194,kudo_shinichi,9750.0
195,meo_thich_lap_trinh,9750.0
196,Alpaca,9750.0
197,hoangviet56,9750.0
198,PXD,9500.0
199,lftroq,9500.0
200,npmduyy,9500.0
201,thanh123456,9500.0
202,114tinminhnguyenduc,9500.0
203,phkhanh_ti22,9500.0
204,dat290320,9500.0
205,Whisper,9500.0
206,goldenskygiang,9500.0
207,Khanhcsp1,9500.0
209,bkkhbkkh,9250.0
210,huyngoquang78,9250.0
211,NobleKross,9000.0
212,hiru,9000.0
213,2127tamvh,9000.0
214,dwuy,9000.0
215,nguyenanhkhoi,9000.0
216,banmkh6,9000.0
217,AnhNormal,9000.0
218,quananh2503,9000.0
219,htmanh,8750.0
220,NgTrung2217,8750.0
221,ngmtuan,8750.0
222,hungntils,8750.0
223,hdh_,8750.0
224,CBNK30_theviet,8750.0
225,hung1204,8750.0
226,ningia203,8500.0
227,naal,8500.0
228,vidut_206_CNH,8500.0
229,lilelan,8500.0
230,huehuehue,8500.0
231,chavus,8500.0
232,NguyenTN091106,8500.0
233,nguyenphong233,8250.0
234,loi,8250.0
235,afalord,8250.0
236,ITK10_Bao,8250.0
237,ntmin,8250.0
238,NgVanMinh,8250.0
239,HuyLol,8000.0
240,NTHưng2005,8000.0
241,airfry,7750.0
242,kiennguyen246,7750.0
243,raskel,7750.0
244,HoangNho,7750.0
245,hmanh2007,7750.0
246,tungvh04,7750.0
247,lululu,7750.0
248,duyledat197,7750.0
249,phattruongPO344,7750.0
250,Canuc80k,7750.0
251,Doan201203,7750.0
252,thanhtriet1007,7750.0
253,vanhjjsdj,7750.0
254,114tinBachNguyenGia,7500.0
255,nh54ams,7500.0
256,sonhotrung,7500.0
257,greenluv,7500.0
258,Hien,7500.0
259,namsea01,7500.0
260,HuyVu,7500.0
261,hungt58,7500.0
262,Canhhao,7250.0
263,Thanhs,7250.0
264,Jorah,7250.0
265,thuonguyenvan,7250.0
266,lemon4life,7250.0
267,Khoi_itk10,7250.0
268,VVUU,7250.0
269,phucvctvn,7250.0
270,kophaiduckanh,7000.0
271,miku23042007,7000.0
272,vankhue_nguyen,7000.0
273,komasan,7000.0
274,nguyentien2505,7000.0
275,CBNK29_thuckhac,7000.0
276,nghiaaa,7000.0
277,hienvmai,7000.0
278,quadangvaica,7000.0
279,mirai,7000.0
280,AckermanulaZygardent,7000.0
281,blueberry,7000.0
282,_nhphuc,7000.0
283,QuangBui,6750.0
284,GD_chilengaming,6750.0
285,dinhcuonglvt,6750.0
286,Miraitowa,6750.0
