Rank,Username,Total Points
22,tantnSE140220,13500.0
23,rakkoon69,13500.0
24,sangph2612,13500.0
25,NguyenKhangNinh_69,13500.0
26,Monarchuwu,13000.0
27,LMAP,13000.0
28,lftroq,12750.0
29,YougiTuber,12750.0
30,OrzSeaPosjtive,12750.0
31,khanhdungtrinh,12750.0
32,binthoi,12750.0
33,AndrewNguyen,12500.0
35,haminh0307,12500.0
36,ShadowShark,12250.0
37,nvc2k8,12250.0
38,canhbuomdoigian,12250.0
39,kiwiikiwii,12000.0
40,farmerboy,12000.0
41,chim,11750.0
42,PhucCNH,11750.0
43,Hata_no_Kokoro,11750.0
44,hihihaha,11750.0
45,lenhanbo,11750.0
46,chemthan,11500.0
47,furiel,11500.0
48,24520811,11250.0
49,NhatMinh0208,11250.0
50,toberu,11250.0
51,ThegodbridgeLOL,11000.0
52,quadangvaica,10750.0
53,Zero_OP,10750.0
54,hello_world12345,10750.0
55,_thuz_hyenn_,10750.0
56,200324,10750.0
58,binminh01,10500.0
59,QioCass,10250.0
60,hphuonghehe,10250.0
61,superdinhmanhhung,10250.0
62,_shin,10250.0
63,orzminhhc,10000.0
64,alskdj,10000.0
65,weee,10000.0
66,lahuyhoang2008,9750.0
67,_nhphuc,9750.0
68,DauCatMoi1208,9750.0
69,hungeazyITistrue,9750.0
72,CBNK29_GuangHai,9500.0
73,lequangmanh139,9500.0
74,luvna,9500.0
75,cnn008,9500.0
76,quaylaiquaylaiquaylai,9500.0
77,enxiayy,9500.0
78,htmanh,9250.0
79,hoangnguyen09022004,9250.0
80,Gnoucm,9250.0
81,VKhang,9250.0
82,Dragst,9000.0
83,phucsongdonggia,9000.0
84,hoangnoobpro,9000.0
85,nger,9000.0
86,khai99,9000.0
87,HA_Blue2809,9000.0
88,khangnguyen1211,9000.0
89,NgVanMinh,8750.0
90,kitsune,8750.0
91,bvd,8750.0
93,khanhtai,8500.0
94,ntmin,8250.0
95,nhmktu,8250.0
96,positivedelta,8250.0
97,09BuiHaiDang,8250.0
98,DuyTruotTuyen,8000.0
99,checkcmt123,8000.0
100,thanh123456,8000.0
101,Akikaze,8000.0
102,NeOWami,8000.0
103,tcmduc,8000.0
104,21tin_cqhung,7750.0
105,SDL999999999,7750.0
106,tronglee,7750.0
107,PhanTienDung,7750.0
108,duong2803,7750.0
109,DL_DinhVuMinhHung2k8,7750.0
110,phamducminh538,7750.0
111,Free_De_La_Zenith,7750.0
112,Spy007,7750.0
113,LeVanThuc,7500.0
114,Kiffaz1,7500.0
115,lede666,7500.0
116,hung9A,7500.0
117,THDH,7500.0
118,kairevona,7500.0
119,LEPHUC123,7500.0
120,buivietthanh,7500.0
121,baongoclau,7500.0
122,phamminhhoang123,7500.0
123,lmaobruh,7250.0
124,trandaihao5555,7250.0
125,quannnguyen2009,7250.0
126,zipdang04,7250.0
127,NhatLong2110,7000.0
128,tathuyminh,7000.0
129,minh30082008,7000.0
130,RussVN123,7000.0
131,shidou333,7000.0
132,Blundermove,7000.0
133,AdsCodingPro,7000.0
134,vudinhlong,7000.0
135,trnthienphc2003,6750.0
136,nghiaaa,6750.0
137,414r1n4,6750.0
138,namsea01,6750.0
139,nguyentien2505,6750.0
140,ltd_sword,6750.0
141,Datqg,6750.0
142,hoangnxh,6750.0
143,Shogun,6750.0
144,23ti_nakhang,6750.0
145,mduongdayy,6500.0
146,thanhtu2608,6500.0
147,huyquangho,6500.0
148,Leehariiii,6500.0
149,manhvuvanyeuha,6500.0
150,NinhDucNam,6500.0
151,YOASOBI,6500.0
152,minhto2k12,6250.0
153,guynh,6250.0
154,DoanTungLamKoCopyCode,6250.0
155,thaibeo123,6250.0
156,Vhai05,6250.0
157,bngp,6250.0
159,tranminhvu08022605,6000.0
160,lephamduykhoa,6000.0
